time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
54,10055,24.913754,0.324416,0.317653,0.354948,9.9e-05,0.0,0.000298,0.0,9.9e-05,0.000995,0.000398,0.000199,9.9e-05,0.000298,9.9e-05,0.0,9.9e-05,0.0,0.000298,0.0,0.0,0.011245,0.40244,0.099165,0.522793,0.074377,1.021327,0.811437,0,1245,616,3596,1005,5454,0,0.0,0.166369,356,16,342083.1336
55,9245,25.083433,0.323634,0.3192,0.354462,0.000108,0.0,0.000324,0.0,0.000108,0.000973,0.000324,0.000216,0.000108,0.000216,0.000108,0.0,0.000108,0.0,0.000108,0.0,0.0,0.0,0.458732,0.099133,0.597222,0.07441,1.021587,0.92569,3,0,810,2407,906,5932,0,0.0,0.171421,356,19,353964.2296
56,10021,25.259035,0.324319,0.319629,0.353059,0.0002,0.0,0.000299,0.0,0.0002,0.000898,0.000299,0.0002,0.0001,0.000299,0.0001,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.009098,0.399265,0.099909,0.518824,0.074644,1.023807,0.806207,0,1319,543,3596,855,5570,0,0.0,0.175655,368,19,364992.6327
57,9216,25.418803,0.324327,0.31977,0.352973,0.000217,0.0,0.000326,0.0,0.000217,0.000868,0.000326,0.000217,0.000109,0.000217,0.000109,0.000109,0.000217,0.0,0.0,0.0,0.0,0.0,0.461208,0.101349,0.598324,0.074668,1.023893,0.931749,0,0,805,2204,1100,5912,0,0.0,0.180834,368,19,377732.3056
58,10074,25.585887,0.323407,0.320925,0.352789,0.000199,0.0,0.000199,0.0,0.000199,0.000794,0.000496,0.000199,0.000199,0.000199,9.9e-05,9.9e-05,0.000199,0.0,0.0,0.0,0.0,0.010409,0.396937,0.103843,0.512843,0.074606,1.023422,0.802065,0,1441,583,3516,1036,5522,0,0.0,0.185188,383,19,389537.3269
59,9172,25.757504,0.323703,0.321958,0.351723,0.000218,0.0,0.000218,0.0,0.000218,0.000763,0.000436,0.000109,0.000218,0.0,0.000109,0.000109,0.000218,0.0,0.0,0.0,0.0,0.0,0.464152,0.10401,0.598278,0.074727,1.023336,0.938181,0,0,902,2353,846,5973,0,0.0,0.190059,383,19,401793.1965
60,9829,25.935329,0.323532,0.318852,0.355072,0.000203,0.0,0.000203,0.000102,0.000203,0.000712,0.000407,0.000102,0.000203,0.0,0.000102,0.000102,0.000203,0.0,0.0,0.0,0.0,0.013652,0.409882,0.105264,0.527017,0.074816,1.024475,0.827144,3,1172,515,3408,806,5615,0,0.000246,0.194038,399,22,413035.6381
61,10686,26.065083,0.324818,0.320326,0.352237,0.000281,0.0,0.000281,9.4e-05,0.000187,0.000749,0.000468,9.4e-05,9.4e-05,0.0,9.4e-05,9.4e-05,0.000187,0.0,0.0,0.0,0.0,0.011823,0.397643,0.107244,0.50878,0.075073,1.026217,0.803107,0,1607,750,3847,1650,5189,0,0.000735,0.198722,418,22,426964.8019
62,9554,26.273991,0.32175,0.321122,0.354616,0.000314,0.0,0.000314,0.000105,0.000209,0.000733,0.000314,0.000105,0.0,0.0,0.000105,0.000105,0.000209,0.0,0.0,0.0,0.0,0.0,0.468623,0.106731,0.599703,0.075147,1.026159,0.945677,0,0,1132,3458,0,6096,0,0.001463,0.202598,418,22,436895.909
63,10015,26.432429,0.323315,0.325012,0.348977,0.0003,0.0,0.000399,0.0,0.0002,0.000899,0.000399,0.0001,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.009836,0.412627,0.107903,0.526562,0.075087,1.025187,0.83315,0,1220,759,3446,946,5623,0,0.002426,0.206803,430,22,449191.9019
